"name","ruleType","phoneNumber","labelId","priority","action","isEnabled","pattern","avatar","isSubscribed","count"
"上海交通卡","phone_rule","12319","travel_ticketing","0","none","1","","https://raw.githubusercontent.com/metowolf/vCards/refs/heads/master/data/出行购票/上海交通卡.png","1","0"
"中国东方航空","phone_rule","95530","travel_ticketing","0","none","1","","https://raw.githubusercontent.com/metowolf/vCards/refs/heads/master/data/出行购票/中国东方航空.png","1","0"
"中国南方航空","phone_rule","95539","travel_ticketing","0","none","1","","https://raw.githubusercontent.com/metowolf/vCards/refs/heads/master/data/出行购票/中国南方航空.png","1","0"
"中国国际航空","phone_rule","95583","travel_ticketing","0","none","1","","https://raw.githubusercontent.com/metowolf/vCards/refs/heads/master/data/出行购票/中国国际航空.png","1","0"
"中国铁路","phone_rule","12306","travel_ticketing","0","none","1","","https://raw.githubusercontent.com/metowolf/vCards/refs/heads/master/data/出行购票/中国铁路.png","1","0"
"厦门航空","phone_rule","95557","travel_ticketing","0","none","1","","https://raw.githubusercontent.com/metowolf/vCards/refs/heads/master/data/出行购票/厦门航空.png","1","0"
"吉祥航空","phone_rule","95520","travel_ticketing","0","none","1","","https://raw.githubusercontent.com/metowolf/vCards/refs/heads/master/data/出行购票/吉祥航空.png","1","0"
"吉祥航空","phone_rule","4007006000","travel_ticketing","0","none","1","","https://raw.githubusercontent.com/metowolf/vCards/refs/heads/master/data/出行购票/吉祥航空.png","1","0"
"四川航空","phone_rule","95378","travel_ticketing","0","none","1","","https://raw.githubusercontent.com/metowolf/vCards/refs/heads/master/data/出行购票/四川航空.png","1","0"
"山东航空","phone_rule","95369","travel_ticketing","0","none","1","","https://raw.githubusercontent.com/metowolf/vCards/refs/heads/master/data/出行购票/山东航空.png","1","0"
"携程","phone_rule","95010","travel_ticketing","0","none","1","","https://raw.githubusercontent.com/metowolf/vCards/refs/heads/master/data/出行购票/携程.png","1","0"
"春秋航空","phone_rule","95524","travel_ticketing","0","none","1","","https://raw.githubusercontent.com/metowolf/vCards/refs/heads/master/data/出行购票/春秋航空.png","1","0"
"浙江长龙航空","phone_rule","956199","travel_ticketing","0","none","1","","https://raw.githubusercontent.com/metowolf/vCards/refs/heads/master/data/出行购票/浙江长龙航空.png","1","0"
"海南航空","phone_rule","95339","travel_ticketing","0","none","1","","https://raw.githubusercontent.com/metowolf/vCards/refs/heads/master/data/出行购票/海南航空.png","1","0"
"深圳航空","phone_rule","95361","travel_ticketing","0","none","1","","https://raw.githubusercontent.com/metowolf/vCards/refs/heads/master/data/出行购票/深圳航空.png","1","0"
"飞猪","phone_rule","9510208","travel_ticketing","0","none","1","","https://raw.githubusercontent.com/metowolf/vCards/refs/heads/master/data/出行购票/飞猪.png","1","0"
